date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto
2010-01-18,297.7800212977221,326.911584959675,275.91170766315304,299.2420851586298,134.35409248994105,329.9847378569436,184.63301434180894,353.6293285750686,325.1332131809423,273.9125002717785
2010-01-19,298.7983863521335,338.74623666416335,276.2656691834346,300.4994408328194,133.99556255781127,330.2077185365313,184.62406301967192,353.66719842398663,325.1679449070742,273.9461962721235
2010-01-20,299.8165383346926,350.66724362056607,276.726496024948,301.7566490902023,133.62958793129258,330.4316231868754,184.61330005606447,353.70570403718136,325.20290366560863,273.97967080942465
2010-01-21,300.8344608816953,2.7298208023657784,277.28436345081826,303.01370315055226,133.25685274432726,330.6564277607817,184.6007374299347,353.74483944108147,325.23808463552814,274.0129198481344
2010-01-22,301.85213978591094,14.995701924024385,277.9301087539362,304.27059752609523,132.87806550256596,330.8821091348692,184.58638876116402,353.78459918355117,325.27348366641996,274.0459401869295
2010-01-23,302.86956278676206,27.53086564009179,278.65530662615856,305.52732766580976,132.49395525601548,331.1086446862241,184.57026878584333,353.82497786356873,325.3090968024924,274.0787289771413
2010-01-24,303.8867193293096,40.40121858165364,279.4522920919917,306.7838895161117,132.1052672041792,331.33601173268363,184.5523926630457,353.86596950953714,325.3449196540943,274.1112830871326
2010-01-25,304.9036002434927,53.665853985645,280.31414837918294,308.04027893508925,131.7127576103687,331.56418676049515,184.53277501530144,353.907566722547,325.38094653100137,274.14359822456794
2010-01-26,305.9201973513129,67.36776107105989,281.234672585283,309.2964909712512,131.31718805619508,331.793144451119,184.51142868920235,353.9497595910396,325.41716934011464,274.17566781510874
2010-01-27,306.9365031729922,81.52254597424661,282.20832850548953,310.55251922004715,130.91931948434444,332.02285675227574,184.48836347264154,353.9925346274279,325.45357649391804,274.2074818795353
2010-01-28,307.95251115968506,96.10696856767322,283.23019346702205,311.8083557838878,130.519907108572,332.25329259701357,184.46358540030587,354.03587435402153,325.4901524540255,274.23902653089345
2010-01-29,308.968217029757,111.0506769970444,284.29590416187773,313.0639925640369,130.11969779785022,332.4844191230499,184.43709758415784,354.0797584361832,325.52687880899896,274.27028499305504
2010-01-30,309.98362130615794,126.23555249396624,285.4016045981196,314.3194241388424,129.7194311527629,332.71620477955497,184.40890309505343,354.1241668086856,325.56373734101226,274.3012406054979
2010-01-31,310.9987318574845,141.50617968781984,286.54389700194065,315.57465109763257,129.3198436620577,332.9486232539772,184.37900897327566,354.16908377190333,325.6007140739029,274.331880824522
2010-02-01,312.01356425555156,156.69127081913382,287.719794703474,316.8296815289586,128.921673163252,333.1816558342862,184.3474290473857,354.21450066680313,325.63780192882575,274.3621998652516
2010-02-02,313.02813864415236,171.63072306611562,288.9266761803612,318.0845290708188,128.52566050888447,333.4152903863172,184.3141836580568,354.26041523820516,325.6750001056968,274.39219811050725
2010-02-03,314.04247424739236,186.19972537717845,290.1622412532855,319.33920832853073,128.132547413132,333.6495174890366,184.27929662494893,354.30682812530875,325.7123106234594,274.421878711319
2010-02-04,315.05658427516556,200.3227071394562,291.42447170802114,320.5937302296772,127.74307186365851,333.884326140371,184.24279165263462,354.35373880973924,325.7497343322857,274.4512436725196
2010-02-05,316.070473300691,213.9749416043209,292.71159788605456,321.8480994042058,127.35796310892988,334.11970112914344,184.20469014760357,354.40114309125926,325.78726844961574,274.4802914555491
2010-02-06,317.08413727185643,227.17461302543856,294.0220709996324,323.102313901776,126.97793728417322,334.355622506739,184.16501087579152,354.44903255084336,325.8249060685908,274.5090165357388
2010-02-07,318.0975650777529,239.97029902769034,295.3545398294459,324.35636634418717,126.60369375553289,334.5920664010561,184.123770774425,354.4973952914838,325.8626369268455,274.53741020038905
2010-02-08,319.1107405409255,252.42816033417907,296.7078304880081,325.610245511333,126.23591195088102,334.82900627707244,184.0809861101505,354.5462171039354,325.90044858616426,274.5654617424275
2010-02-09,320.1236441870609,264.6212670559629,298.0809284236264,326.8639377743149,125.87524851340086,335.0664141095827,184.03667351664788,354.59548254953404,325.938327520256,274.5931595528011
2010-02-10,321.1362545941112,276.6218465968105,299.4729622711211,328.11742818913535,125.52233472722756,335.3042612918194,183.99085077333308,354.6451757946334,325.97625994968064,274.6204919555711
2010-02-11,322.14854938426686,288.49630524227905,300.8831893965576,329.37070129845944,125.17777423096665,335.54251931483793,183.94353737330803,354.6952812319327,326.01423246215063,274.6474478270422
2010-02-12,323.16050598695523,300.3025531079727,302.31098303880964,330.6237417443065,124.84214102297601,335.7811602995403,183.8947549603414,354.74578396583615,326.0522324967802,274.67401707890855
2010-02-13,324.1721022533496,312.08916738793664,303.75582090642195,331.8765347482259,124.51597771208458,336.02015741715076,183.84452766142965,354.7966701915706,326.0902487223137,274.7001910356363
2010-02-14,325.1833169508713,323.8960305102739,305.2172750494137,333.1290664701811,124.1997939507166,336.2594851932196,183.79288229947977,354.8479274579526,326.12827129885517,274.7259626951004
