date,sun_moon_tension,sun_mercury_tension,sun_venus_tension,sun_mars_tension,sun_jupiter_tension,sun_saturn_tension,sun_uranus_tension,sun_neptune_tension,sun_pluto_tension,moon_mercury_tension,moon_venus_tension,moon_mars_tension,moon_jupiter_tension,moon_saturn_tension,moon_uranus_tension,moon_neptune_tension,moon_pluto_tension,mercury_venus_tension,mercury_mars_tension,mercury_jupiter_tension,mercury_saturn_tension,mercury_uranus_tension,mercury_neptune_tension,mercury_pluto_tension,venus_mars_tension,venus_jupiter_tension,venus_saturn_tension,venus_uranus_tension,venus_neptune_tension,venus_pluto_tension,mars_jupiter_tension,mars_saturn_tension,mars_uranus_tension,mars_neptune_tension,mars_pluto_tension,jupiter_saturn_tension,jupiter_uranus_tension,jupiter_neptune_tension,jupiter_pluto_tension,saturn_uranus_tension,saturn_neptune_tension,saturn_pluto_tension,uranus_neptune_tension,uranus_pluto_tension,neptune_pluto_tension,global_tension
1990-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5582,0.0,0.0045,0.1581,0.0,0.2268,0.5333,1.2393,0.0813,0.2682,0.0,0.0,0.4621,0.0,0.0,0.0,0.0,0.0,0.6365,0.0,0.0292,0.0653,0.5232,0.0,0.8412,0.0825,0.0,0.0,0.306,0.0,0.0,0.0,0.2315,0.3329,0.3634,0.0,0.0,5.52
1990-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.357,0.6526,0.2117,0.0,0.0,0.2659,0.0,0.0,0.0,0.2057,0.0,0.0,0.3434,0.0,0.0,0.0,0.0,0.0,0.6498,0.0,0.0343,0.0689,0.3975,0.0,0.9322,0.1625,0.0,0.0,0.2843,0.0,0.0,0.0,0.2194,0.3145,0.3658,0.0,0.0,4.49
1990-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1558,0.0,0.0,0.0998,0.0,0.0,0.2632,0.0,0.0944,0.1439,0.0,0.0,0.2219,0.0,0.0,0.0,0.0,0.0,0.6594,0.0,0.0363,0.0691,0.2722,0.0,1.0234,0.2425,0.0,0.0,0.2634,0.0,0.0,0.0,0.2074,0.2962,0.3683,0.0,0.0,3.76
1990-02-10,0.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9546,0.0,0.1028,0.0,0.0,0.0,0.0,0.0,0.5749,0.0828,0.0,0.0,0.0977,0.0,0.0,0.0,0.0,0.0,0.6652,0.0,0.0354,0.0658,0.1473,0.0,1.0413,0.3227,0.0,0.0,0.2433,0.0,0.0,0.0,0.1955,0.2778,0.3706,0.0,0.0,4.12
1990-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533,0.0,0.0,0.1471,0.0,0.0,0.2405,0.0,0.0,0.0226,0.0,0.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.6673,0.0,0.0315,0.0592,0.0229,0.0,0.9498,0.4029,0.0,0.0,0.2239,0.0,0.0,0.0,0.1836,0.2595,0.373,0.0,0.0,3.08
1990-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552,0.0,0.1073,0.0,0.0,0.2751,0.0,0.0243,0.3968,0.0,0.0,0.3871,0.0,0.0,0.0,0.0,0.0,0.0,0.6658,0.0,0.0247,0.0492,0.0,0.0,0.8582,0.4833,0.0,0.0,0.2053,0.0,0.0,0.0,0.1717,0.2411,0.3753,0.0,0.0,3.35
1990-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3506,0.1868,0.0,0.0,1.4777,0.0,0.2809,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.6607,0.0,0.0152,0.0361,0.0,0.0,0.7665,0.5638,0.0,0.0,0.1874,0.0,0.0,0.0,0.1599,0.2228,0.3776,0.0,0.0,4.07
1990-02-14,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.1492,0.0,0.0145,0.9042,0.0,0.2338,0.522,1.4223,0.0,0.0,0.0,0.2756,0.0,0.0,0.0,0.0,0.0,0.0,0.6522,0.0,0.0029,0.0197,0.0,0.0,0.6745,0.6443,0.0,0.0,0.1704,0.0,0.0,0.0,0.1481,0.2045,0.3799,0.0,0.0,4.46
1990-02-15,0.2274,0.0,0.0,0.0,0.0467,0.0,0.0,0.0,0.0,0.0,0.4252,0.0,0.0396,0.6793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6403,0.0,0.0,0.0004,0.0,0.0,0.5825,0.725,0.0,0.0,0.1541,0.0,0.0,0.0,0.1365,0.1863,0.3821,0.0,0.0,2.93
1990-02-16,0.0,0.0,0.0,0.0,0.0918,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.4281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6252,0.0,0.0,0.0,0.0,0.0,0.4903,0.8058,0.0,0.0,0.1386,0.0,0.0,0.0,0.1248,0.168,0.3843,0.0,0.0,2.75
1990-02-17,0.0,0.0,0.0,0.0,0.1367,0.0,0.0,0.0,0.0,0.0,0.0747,0.0,0.0,0.3482,0.0,0.0,1.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6069,0.0,0.0,0.0,0.0,0.0571,0.3979,0.8866,0.0,0.0,0.1239,0.0,0.0,0.0,0.1133,0.1498,0.3865,0.0,0.0,3.01
1990-02-18,0.8455,0.0,0.0,0.0,0.1815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5856,0.0,0.0,0.0,0.0,0.1478,0.3054,0.8804,0.0386,0.0,0.1101,0.0,0.0,0.0,0.1017,0.1316,0.3886,0.0,0.0,3.11
1990-02-19,0.0,0.0,0.0,0.0,0.2261,0.0,0.0,0.0,0.0,0.0292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0,0.0,0.5613,0.0,0.0,0.0,0.0,0.2386,0.2127,0.7993,0.135,0.0,0.097,0.0,0.0,0.0,0.0903,0.1134,0.3907,0.0,0.0,2.02
1990-02-20,0.0,0.0,0.0,0.0,0.2494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2475,0.0065,0.0,0.5341,0.0,0.0,0.0,0.0,0.3297,0.1199,0.7181,0.2315,0.0,0.0847,0.0,0.0,0.0,0.0789,0.0953,0.3928,0.0,0.0,2.48
1990-02-21,0.0,0.0,0.0,0.0,0.2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.0,1.1169,0.2878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883,0.0272,0.0,0.5042,0.0,0.0,0.0,0.0,0.4209,0.0269,0.6368,0.3282,0.0,0.0733,0.0,0.0,0.0,0.0676,0.0772,0.3948,0.0,0.0001,3.33
1990-02-22,0.0,0.0,0.0,0.0,0.1609,0.0,0.0,0.0,0.0,0.0,0.331,0.4826,0.0,1.1609,0.0,0.1244,0.1379,0.0,0.0,0.0,0.0,0.0,0.0,0.7319,0.0459,0.0,0.4716,0.0,0.0,0.0,0.0,0.5124,0.0,0.5555,0.4251,0.0,0.0627,0.0,0.0,0.0,0.0564,0.0592,0.3968,0.0,0.0042,3.97
1990-02-23,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9782,0.0629,0.0,0.4364,0.0,0.0,0.0,0.0,0.604,0.0,0.474,0.522,0.0,0.0528,0.0,0.0,0.0,0.0452,0.0412,0.3988,0.0,0.0084,2.6
1990-02-24,0.0,0.0,0.0,0.0,0.0732,0.0,0.0552,0.0,0.0,0.6701,0.0,0.0,0.0,0.0,0.0,0.0,1.8354,0.0,0.0,0.0,0.0,0.0,0.0,1.2272,0.0782,0.0,0.3988,0.0,0.0,0.0,0.0,0.6958,0.0,0.3924,0.4369,0.0,0.0439,0.0,0.0,0.0,0.0341,0.0233,0.4007,0.0,0.0126,4.43
1990-02-25,0.3308,0.0,0.0,0.0,0.0295,0.0,0.1568,0.0,0.0,0.0,0.0,0.0,0.2876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081,0.0918,0.0,0.3588,0.0,0.0,0.0,0.0,0.7879,0.0,0.3107,0.3396,0.0,0.0357,0.0,0.0,0.0,0.0231,0.0054,0.4026,0.0,0.0168,2.96
1990-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.2584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2678,0.2347,0.0,0.0,0.0,0.0,0.0,0.0,0.8264,0.1038,0.0,0.3165,0.0,0.0,0.0,0.0,0.8801,0.0,0.2289,0.2422,0.0,0.0284,0.0,0.0,0.0,0.0122,0.0,0.4044,0.0,0.0211,2.66
1990-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.3601,0.0,0.0,0.0,0.0714,0.0,1.3705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5691,0.1143,0.0,0.272,0.0,0.0,0.0,0.0,0.9725,0.0,0.147,0.1447,0.0,0.0219,0.0,0.0,0.0,0.0014,0.0,0.4062,0.0,0.0254,3.11
